ModbusId,UnitName,UnitId,FunctionGroup,FunctionNumber,DatapointId,DatapointName,Type,TypeName,Decimal,FunctionGroup name,Function name,Steps,Min. value,Max. value,Writable,unit,Commentary,Text 0,Text 1,Text 2,Text 3,Text 4,Text 5,Text 6,Text 7,Text 8,Text 9,Text 10,Text 11,Text 12,Text 13,Text 14,Text 15,Text 16,Text 17,Text 18,Text 19,Text 20,Text 21,Text 22,Text 23,Text 24,Text 25,Text 26,Text 27,Text 28,Text 29,Text 30,Text 31
40,SOL,65,0,0,29043,Aktiver Fehler 2_error_type,10,U8,0,Allgemein,Allgemein,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,SOL,65,0,0,29043,Aktiver Fehler 2_error_code,11,U16,0,Allgemein,Allgemein,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,SOL,65,0,0,29044,Aktiver Fehler 3_appearance_time,3,U16,0,Allgemein,Allgemein,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,SOL,65,0,0,29044,Aktiver Fehler 3_appearance_date,4,U16,0,Allgemein,Allgemein,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,SOL,65,0,0,29044,Aktiver Fehler 3_disappear_time,5,U16,0,Allgemein,Allgemein,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,SOL,65,0,0,29044,Aktiver Fehler 3_disappear_date,6,U16,0,Allgemein,Allgemein,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,SOL,65,0,0,29044,Aktiver Fehler 3_source,7,U16,0,Allgemein,Allgemein,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,SOL,65,0,0,29044,Aktiver Fehler 3_function_group,8,U8,0,Allgemein,Allgemein,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,SOL,65,0,0,29044,Aktiver Fehler 3_function_number,9,U8,0,Allgemein,Allgemein,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,SOL,65,0,0,29044,Aktiver Fehler 3_error_type,10,U8,0,Allgemein,Allgemein,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,SOL,65,0,0,29044,Aktiver Fehler 3_error_code,11,U16,0,Allgemein,Allgemein,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,SOL,65,0,0,29045,Aktiver Fehler 4_appearance_time,3,U16,0,Allgemein,Allgemein,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,SOL,65,0,0,29045,Aktiver Fehler 4_appearance_date,4,U16,0,Allgemein,Allgemein,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,SOL,65,0,0,29045,Aktiver Fehler 4_disappear_time,5,U16,0,Allgemein,Allgemein,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,SOL,65,0,0,29045,Aktiver Fehler 4_disappear_date,6,U16,0,Allgemein,Allgemein,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,SOL,65,0,0,29045,Aktiver Fehler 4_source,7,U16,0,Allgemein,Allgemein,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,SOL,65,0,0,29045,Aktiver Fehler 4_function_group,8,U8,0,Allgemein,Allgemein,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,SOL,65,0,0,29045,Aktiver Fehler 4_function_number,9,U8,0,Allgemein,Allgemein,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,SOL,65,0,0,29045,Aktiver Fehler 4_error_type,10,U8,0,Allgemein,Allgemein,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,SOL,65,0,0,29045,Aktiver Fehler 4_error_code,11,U16,0,Allgemein,Allgemein,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,SOL,65,0,0,29046,Aktiver Fehler 5_appearance_time,3,U16,0,Allgemein,Allgemein,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,SOL,65,0,0,29046,Aktiver Fehler 5_appearance_date,4,U16,0,Allgemein,Allgemein,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,SOL,65,0,0,29046,Aktiver Fehler 5_disappear_time,5,U16,0,Allgemein,Allgemein,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,SOL,65,0,0,29046,Aktiver Fehler 5_disappear_date,6,U16,0,Allgemein,Allgemein,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,SOL,65,0,0,29046,Aktiver Fehler 5_source,7,U16,0,Allgemein,Allgemein,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,SOL,65,0,0,29046,Aktiver Fehler 5_function_group,8,U8,0,Allgemein,Allgemein,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,SOL,65,0,0,29046,Aktiver Fehler 5_function_number,9,U8,0,Allgemein,Allgemein,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,SOL,65,0,0,29046,Aktiver Fehler 5_error_type,10,U8,0,Allgemein,Allgemein,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,SOL,65,0,0,29046,Aktiver Fehler 5_error_code,11,U16,0,Allgemein,Allgemein,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,SOL,65,22,0,2056,Status Solarregelung,1,U8,0,Kollektor,Kollektor 1,1,0,3,No,,Status Solarfunktionen#0= Abgeschaltet#1= Ladung aktiv#2= St”rung#3= Warnung / Info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,SOL,65,22,1,2056,Status Solarregelung,1,U8,0,Kollektor,Kollektor 2,1,0,3,No,,Status Solarfunktionen#0= Abgeschaltet#1= Ladung aktiv#2= St”rung#3= Warnung / Info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,SOL,65,23,0,16,TU Speicher unten Temp.,1,S16,1,Solarspeicher,Solarspeicher 1,1,0,1000,No,°C,Aktuelle Temperatur im Solarspeicher unten. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,SOL,65,23,0,15,TO Speicher oben Temp.,1,S16,1,Solarspeicher,Solarspeicher 1,1,0,1000,No,°C,Aktuelle Temperatur im Puffer / Speicher Oben. Dieser Wert kann lokal oder vom Systemregler Puffer (00-015) / WW-Speicher (00-004) kommen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,SOL,65,23,1,16,TU Speicher unten Temp.,1,S16,1,Solarspeicher,Solarspeicher 2,1,0,1000,No,°C,Aktuelle Temperatur im Solarspeicher unten. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,SOL,65,23,1,15,TO Speicher oben Temp.,1,S16,1,Solarspeicher,Solarspeicher 2,1,0,1000,No,°C,Aktuelle Temperatur im Puffer / Speicher Oben. Dieser Wert kann lokal oder vom Systemregler Puffer (00-015) / WW-Speicher (00-004) kommen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,SOL,65,23,2,16,TU Speicher unten Temp.,1,S16,1,Solarspeicher,Solarspeicher 3,1,0,1000,No,°C,Aktuelle Temperatur im Solarspeicher unten. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,SOL,65,23,2,15,TO Speicher oben Temp.,1,S16,1,Solarspeicher,Solarspeicher 3,1,0,1000,No,°C,Aktuelle Temperatur im Puffer / Speicher Oben. Dieser Wert kann lokal oder vom Systemregler Puffer (00-015) / WW-Speicher (00-004) kommen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,SOL,65,23,3,16,TU Speicher unten Temp.,1,S16,1,Solarspeicher,Solarspeicher 4,1,0,1000,No,°C,Aktuelle Temperatur im Solarspeicher unten. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,SOL,65,23,3,15,TO Speicher oben Temp.,1,S16,1,Solarspeicher,Solarspeicher 4,1,0,1000,No,°C,Aktuelle Temperatur im Puffer / Speicher Oben. Dieser Wert kann lokal oder vom Systemregler Puffer (00-015) / WW-Speicher (00-004) kommen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,SOL,65,22,0,62,VSol Volumenstrom Solarkreis,1,S16,2,Kollektor,Kollektor 1,1,0,0,No,l/min,VSol Volumenstrom Solarkreis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,SOL,65,22,0,60,TKV Kollektorvorlauf Temp.,1,S16,1,Kollektor,Kollektor 1,1,-300,3000,No,°C,TKV Kollektorvorlauf Temperatur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,SOL,65,22,0,61,TKR Kollektorruecklauf Temp.,1,S16,1,Kollektor,Kollektor 1,1,0,1000,No,°C,TKR Kollektorr?cklauf Temperatur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,SOL,65,22,0,1050,PS akt. Drehzahl Pumpe Solar,1,U8,0,Kollektor,Kollektor 1,1,0,100,No,%,PS akt. Drehzahl Pumpe Solar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,SOL,65,22,1,62,VSol Volumenstrom Solarkreis,1,S16,2,Kollektor,Kollektor 2,1,0,0,No,l/min,VSol Volumenstrom Solarkreis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,SOL,65,22,1,60,TKV Kollektorvorlauf Temp.,1,S16,1,Kollektor,Kollektor 2,1,-300,3000,No,°C,TKV Kollektorvorlauf Temperatur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,SOL,65,22,1,61,TKR Kollektorruecklauf Temp.,1,S16,1,Kollektor,Kollektor 2,1,0,1000,No,°C,TKR Kollektorr?cklauf Temperatur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,SOL,65,22,1,1050,PS akt. Drehzahl Pumpe Solar,1,U8,0,Kollektor,Kollektor 2,1,0,100,No,%,PS akt. Drehzahl Pumpe Solar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,SOL,66,22,0,14,TKO1 Kollektor Temperatur,1,S16,1,Kollektor,Kollektor 1,1,-300,3000,No,°C,TKO1 Kollektor Temperatur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,SOL,66,22,1,14,TKO2 Kollektor Temperatur,1,S16,1,Kollektor,Kollektor 2,1,-300,3000,No,°C,TKO2 Kollektor Temperatur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,SOL,66,22,1,2034,Gesamtertrag Kollektor_high,2,S32,0,Kollektor,Kollektor 2,1,0,0,No,kWh,Gesamtertrag Kollektor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,SOL,66,22,1,2034,Gesamtertrag Kollektor_low,1,S32,0,Kollektor,Kollektor 2,1,0,0,No,kWh,Gesamtertrag Kollektor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,SOL,66,22,1,2030,Kollektorleistung aktuell,1,S16,1,Kollektor,Kollektor 2,1,0,32767,No,kW,Kollektorleistung aktuell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
