Register Address,UnitName,UnitId,FunctionGroup,FunctionNumber,DatapointId,DatapointName,Type,TypeName,Decimal,FunctionGroup name,Function name,Steps,Min. value,Max. value,Writable,unit,Commentary,Text 0,Text 1,Text 2,Text 3,Text 4,Text 5,Text 6,Text 7,Text 8,Text 9,Text 10,Text 11,Text 12,Text 13,Text 14,Text 15,Text 16,Text 17,Text 18,Text 19,Text 20,Text 21,Text 22,Text 23,Text 24,Text 25,Text 26,Text 27,Text 28,Text 29,Text 30,Text 31
73,SOL,65,23,1,16,TU storage tank bottom temp.,1,S16,1,Solar storage tank,Solar st. tank 2,1,0,1000,No,°C,Current temperature in the solar storage tank below. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,SOL,65,23,1,15,TO storage tank top temp.,1,S16,1,Solar storage tank,Solar st. tank 2,1,0,1000,No,°C,Current temperature in the buffer / storage tank above. This value can come locally or from the system controller buffer (00-015) / DHW storage (00-004).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,SOL,65,23,2,16,TU storage tank bottom temp.,1,S16,1,Solar storage tank,Solar st. tank 3,1,0,1000,No,°C,Current temperature in the solar storage tank below. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,SOL,65,23,2,15,TO storage tank top temp.,1,S16,1,Solar storage tank,Solar st. tank 3,1,0,1000,No,°C,Current temperature in the buffer / storage tank above. This value can come locally or from the system controller buffer (00-015) / DHW storage (00-004).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,SOL,65,23,3,16,TU storage tank bottom temp.,1,S16,1,Solar storage tank,Solar st. tank 4,1,0,1000,No,°C,Current temperature in the solar storage tank below. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,SOL,65,23,3,15,TO storage tank top temp.,1,S16,1,Solar storage tank,Solar st. tank 4,1,0,1000,No,°C,Current temperature in the buffer / storage tank above. This value can come locally or from the system controller buffer (00-015) / DHW storage (00-004).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,SOL,65,22,0,62,Vset volume flow solar circuit,1,S16,2,Collector,Collector 1,1,0,0,No,l/min,VSol Volume flow solar circuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,SOL,65,22,0,60,TKV collector supply temp.,1,S16,1,Collector,Collector 1,1,-300,3000,No,°C,TKV collector supply temp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,SOL,65,22,0,61,TKR collector return temp.,1,S16,1,Collector,Collector 1,1,0,1000,No,°C,TKR Collector return temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,SOL,65,22,0,1050,Current speed pump Solar,1,U8,0,Collector,Collector 1,1,0,100,No,%,Current speed pump Solar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,SOL,65,22,1,62,Vset volume flow solar circuit,1,S16,2,Collector,Collector 2,1,0,0,No,l/min,VSol Volume flow solar circuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,SOL,65,22,1,60,TKV collector supply temp.,1,S16,1,Collector,Collector 2,1,-300,3000,No,°C,TKV collector supply temp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,SOL,65,22,1,61,TKR collector return temp.,1,S16,1,Collector,Collector 2,1,0,1000,No,°C,TKR Collector return temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,SOL,65,22,1,1050,Current speed pump Solar,1,U8,0,Collector,Collector 2,1,0,100,No,%,VSol Volume flow solar circuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,SOL,66,22,0,14,TKO1 collector temperature,1,S16,1,Collector,Collector 1,1,-300,3000,No,°C,TKO1 collector temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,SOL,66,22,1,14,TKO2 collector temperature,1,S16,1,Collector,Collector 2,1,-300,3000,No,°C,TKO2 collector temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,SOL,66,22,1,2034,Total yield collector_high,2,S32,0,Collector,Collector 2,1,0,0,No,kWh,Total yield collector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,SOL,66,22,1,2034,Total yield collector_low,1,S32,0,Collector,Collector 2,1,0,0,No,kWh,Total yield collector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,SOL,66,22,1,2030,Current collector output,1,S16,1,Collector,Collector 2,1,0,32767,No,kW,Current collector output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,SOL,66,22,0,2032,Operating hours pump Solar,1,U16,0,Collector,Collector 1,1,0,65535,No,h,"Under 81 Resetting the operating hours (only possible to change to ""0"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,SOL,66,22,1,2032,Operating hours pump Solar,1,U16,0,Collector,Collector 2,1,0,65535,No,h,"Under 81 Resetting the operating hours (only possible to change to ""0"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,SOL,66,22,0,2034,Total yield collector_high,2,S32,0,Collector,Collector 1,1,0,0,No,kWh,Total yield collector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,SOL,66,22,0,2034,Total yield collector_low,1,S32,0,Collector,Collector 1,1,0,0,No,kWh,Total yield collector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,SOL,66,22,0,2030,Current collector output,1,S16,1,Collector,Collector 1,1,0,32767,No,kW,Current collector output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,SOL,66,0,0,23084,Activate relay test,1,U8,0,General,General,1,0,1,No,,Activate relay test#0=AUS#1=EIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,SOL,66,0,0,21036,VA1 output,1,U8,0,General,General,1,0,1,Yes,,Output status / activation 0=OFF 1=ON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,SOL,66,0,0,21037,VA2 output,1,U8,0,General,General,1,0,1,Yes,,Output status / activation 0=OFF 1=ON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,SOL,66,0,0,21038,VA3 output,1,U8,0,General,General,1,0,1,Yes,,Output status / activation 0=OFF 1=ON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,SOL,66,0,0,21039,VA1-FE1 output,1,U8,0,General,General,1,0,1,Yes,,Output status / activation 0=OFF 1=ON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,SOL,66,0,0,21040,VA2- FE1 output,1,U8,0,General,General,1,0,1,Yes,,Output status / activation 0=OFF 1=ON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,SOL,66,0,0,21041,VA3-FE1 output,1,U8,0,General,General,1,0,1,Yes,,Output status / activation 0=OFF 1=ON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,SOL,66,0,0,21043,VA1-FE2 output,1,U8,0,General,General,1,0,1,Yes,,Output status / activation 0=OFF 1=ON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,SOL,66,0,0,21044,VA2- FE2 output,1,U8,0,General,General,1,0,1,Yes,,Output status / activation 0=OFF 1=ON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
